"Environment","Model","Accuracy","AUC","Recall","Precision","F1_Score","Balanced_Accuracy"
"Baseline Environment","Random Forest",0.796135909393737,0.886722955986103,0.848459616985845,0.580626780626781,0.689445196211096,0.812782200982323
"Region Shift Environment","Random Forest",0.797026502908856,0.874946543121882,0.79344262295082,0.490872210953347,0.606516290726817,0.795674612602624
"Age Shift Environment","Random Forest",0.75657157094805,0.860727621812933,0.852403520649966,0.62388503468781,0.720457796852647,0.776586148261116
